15,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/quinze/,,lsf-1 chiffre mathématique
18,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/dix-huit/,,lsf-1 chiffre mathématique
20,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/vingt/,,lsf-1 chiffre mathématique
30,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/trente/,,lsf-1 chiffre mathématique
40,,[sound:40.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/quarante/,,lsf-1 chiffre mathématique
60,,[sound:60.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/soixante/,,lsf-1 chiffre mathématique
70,,[sound:70.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/septante/,,lsf-1 chiffre mathématique
80,,[sound:80.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/huitante-quatre-vingts/,,lsf-1 chiffre mathématique
100,,[sound:100.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cent/,,lsf-1 chiffre mathématique
1000,,[sound:1000.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/mille-1/,,lsf-2 chiffre mathématique
10ème,,[sound:10ème.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/dixieme/,,lsf-1 mathématique
6ème,,[sound:6ème.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/sixieme/,,lsf-1 mathématique
abeille,,[sound:abeille.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abeille/,,lsf-2 animal
abricot,,[sound:abricot.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abricot/,,lsf-1 nature nourriture
accepter,,[sound:accepter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accepter/,,lsf-2 verbe
accident,,[sound:accident.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accident/,,lsf-2 
accompagner,,[sound:accompagner.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accompagner/,,lsf-1 verbe verbe-dir
accrocher,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accrocher/,,lsf-2 verbe
accuser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accuser/,,lsf-1 verbe
acheter,,[sound:acheter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/acheter/,,lsf-1 verbe
acouphène,,[sound:acouphène.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/acouphenes/,,lsf-1 
acteur - actrice,,[sound:acteur - actrice.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/acteur-actrice/,,lsf-1 profession
administration,,[sound:administration.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/administration/,,lsf-2 
admirer,,[sound:admirer.mp4],(variante GE),https://signsuisse.sgb-fss.ch/fr/lexikon/g/admirer/,,lsf-1 verbe
adorer,,[sound:adorer.mp4],(variante « FR »),https://signsuisse.sgb-fss.ch/fr/lexikon/g/adorer/,,lsf-1 verbe
adresse,Indication de lieu.,[sound:adresse.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adresse-1/,,lsf-2 
adulte,Personne majeure,[sound:adulte.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adulte-1/,,
Afrique,,[sound:Afrique.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/afrique/,,lsf-2 continent lieu
agacer,,[sound:agacer.mp4],,,,lsf-2 verbe verbe-inv-dir
agence,Entreprise commerciale servant d'intermédiaire.,[sound:agence.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agence/,,lsf-2 service
agité-e,,[sound:agité-e.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agite-agitee/,,lsf-2 adjectif
agneau,,[sound:agneau.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agneau/,,lsf-1 animal
aider,,[sound:aider.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aider/,,lsf-2 
aigle,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aigle/,,lsf-2 animal
aimer,,[sound:aimer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aimer/,,lsf-1 verbe verbe-aff-nég
ajouter,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ajouter/,,lsf-2 verbe
Algérie,,[sound:Algérie.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/algerie/,,lsf-2 lieu pays
Aligro,,[sound:Aligro.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aligro/,,lsf-2 lieu
Allemagne,,[sound:Allemagne.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allemagne/,,lsf-1 lieu pays
allemand,,[sound:Allemagne.mp4],(homosigne au nom du pays),https://signsuisse.sgb-fss.ch/fr/lexikon/g/allemand/,,lsf-1 langue
aller,,[sound:aller.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller/,,lsf-1 verbe
aller chercher,,[sound:aller chercher.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller-chercher/,,lsf-2 verbe
aller-retour,,[sound:aller-retour.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller-retour/,,verbe
allumer,P. ex. une lampe.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allumer/,,lsf-1 verbe
allumette,,[sound:allumette.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allumette/,,lsf-1 outil
alors,,[sound:alors.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/alors/,,lsf-1 adverbe
ambulance,,[sound:ambulance.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ambulance/,,lsf-2 
amende,Contravention.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amende/,,lsf-2 
ami-e,,[sound:ami-e.mp4],,,,lsf-1 
