1000,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/mille-1/,,chiffre mathématique
accepter,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accepter/,,verbe
accident,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accident/,,
accrocher,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accrocher/,,verbe
administration,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/administration/,,
adresse,Indication de lieu.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adresse-1/,,
Afrique,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/afrique/,,continent lieu
agence,Entreprise commerciale servant d'intermédiaire.,[sound:agence.mp4],,,,service
aider,,[sound:aider.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aider/,,
aigle,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aigle/,,animal
ajouter,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ajouter/,,verbe
Aligro,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aligro/,,lieu
ambulance,,[sound:ambulance.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ambulance/,,
amende,Contravention.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amende/,,
annuler,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/annuler/,,verbe
antenne,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/antenne-1-1/,,technologie
Appenzell,,,,,,canton lieu
apéro,,,,,,activité
argent,,,,,,
Argovie,,,,,,canton lieu
arroser,,,,,,
arrêter,"Appréhender, emprisonner, capturer.",[sound:arrêter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-2/,,verbe verbe-dir
artiste,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/artiste/,,profession
Asie,,,,,,
assiette,,,,,,outil
assurance maladie,,,,,,service
athée,,,religion + ne pas avoir,https://signsuisse.sgb-fss.ch/fr/lexikon/g/athee/,,
attention!,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/attention/,,formule
aubergine,,,,,,
Australie,,,,,,lieu pays
autonome,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/autonome/,,adjectif
autoroute,,,,,,
avantage,,,aimer (plusieurs fois en petit),,,
aventure,,,,,,
avoir tort,,,(se signe comme «faux (pas juste) »),,,verbe
aéroport,,[sound:aéroport.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aeroport/,,lieu transport
bain,,,,,,
Berne,,,,,,canton lieu
bienvenue,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/bienvenue/,,formule
billet,,,,,,
bio,,,,,,adjectif
bissextile,,,,,,calendrier
blé,,,,,,
bonhomme de neige,,,,,,
boucher - bouchère,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/boucher-bouchere/,,profession
boucherie,,,,,,
bouddhiste,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/bouddhiste/,,religion
boulanger,,,,,,
boulanger - boulangère,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/boulanger-boulangere/,,profession
boxe,,,,,,sport
brûler,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/bruler/,,verbe
buffet,,,,,,
Bâle,,,,,,canton lieu
bélier,,[sound:bélier.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/belier/,,animal
bûche de Noël,,,,,,nourriture
caca,,,,,,
calamar,,,,,,animal
cancer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cancer/,,médecine
caractère,Trait propre à une personne.,[sound:caractère.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/caractere/,,
carte d'identité,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/carte-didentite/,,outil
carte de crédit,,,,,,
catholique,,,,,,religion
centrale nucléaire,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/centrale-nucleaire/,,bâtiment
certificat,,[sound:certificat.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/certificat/,,
chalet,,,maison + montagne,,,
chapiteau,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chapiteau/,,bâtiment
Chaplin,,,,,,personnalité
chaussette,,,,,,
chaussettes,,,,,,
chauve,,,,,,adjectif
chauve-souris,,[sound:chauve-souris.mp4],(en cours: un peu différent de la variante FR),https://signsuisse.sgb-fss.ch/fr/lexikon/g/chauve-souris/,,animal
chef (hiérarchie),"Personne qui dirige, qui commande.",,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chef/,,profession
cheminée,,,,,,
cher,,,,,,
chiffre,,,,,,
chips,,,,,,nourriture
cholesterol,,,,,,
chou blanc,,,,,,
chou chinois,,,,,,
chou frisé,,,,,,
chou rouge,,,,,,
chou-fleur,,,chou + fleur,,,
chouette,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chouette/,,animal
Clair-Bois,,,clair + bois,,,lieu
clown,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/clown-1/,,profession
combattre,,,,,https://dico.elix-lsf.fr/dictionnaire/combattre,verbe
communiquer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/communiquer/,,verbe
complet,,,,,,
concept,,,,,,
concurrence,"Compétition, rivalité d'intérêts.",,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/concurrence/,,activité
confiance,,,,,,
confiture,,,,,,nourriture
conseiller,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/conseiller-1/,,verbe
contact,État de corps qui se touchent.,,,,https://dico.elix-lsf.fr/dictionnaire/contact/n.m.-147611,
contrôler,,,,,,
convaincre,,[sound:convaincre.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/convaincre/,,verbe verbe-dir
cool,,,,,,adjectif
COOP,Magasin,[sound:COOP.mp4],,,,lieu
cortège,,,,,,
"couler (fuir, goutter)",,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/couler-2/,,verbe
couler (s'enfoncer),,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/couler-1/,,verbe
courage,,[sound:courage.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/courage/,,sentiment
courbatures,Avoir de courbatures après avoir fait de l'exercice.,,,,,
courgette,,,,,,nourriture
crevette,,,,,,
croissant,,,,,,nourriture
croix,,,,,,
cuillère,,,,,,outil
cuir,,,,,,
cuire,,,"(en cours nous avons plus bougé les doigts, comme pour « Feu »)",https://signsuisse.sgb-fss.ch/fr/lexikon/g/cuire/,,verbe
cuisinier - cuisinière,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cuisinier-cuisiniere/,,profession
cuisinnier - cuisinnière,,,,,,profession
danger,,,,,,
dauphin,,,,,,animal
dernier,,,,,,
dessert,,,,,,nourriture
diabètes,,,,,,
Donald Trump,Président des États-Unis d'Amérique,[sound:Donald Trump.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/trump-donald/,,personnalité
douane,,[sound:douane.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/douane/,,
DVD,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/dvd-2/,,communication technologie
décider,,[sound:décider.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/decider/,,verbe
décorer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/decorer/,,verbe
définition,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/definition-1/,,langue
départ,,,,,,
dépenser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/depenser/,,verbe
désert,,,,,,
détail,,,,,,
Eaux-Vives,,,,,,lieu ville
email,,[sound:email.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/e-mail-courriel/,,communication
en même temps,,,,,,formule
enfin,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/enfin/,,adverbe
entreprise,,,,,,
essayer,,,,,,
exceptionnel,,,,,,adjectif
faible,,,,,,adjectif
femelle,,[sound:femelle.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/femelle/,,adjectif animal
fin,"Terme, achèvement.",,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/fin-1/,,
fièvre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/fievre/,,médecine
flamant rose,,,,,,animal
flan,,,,,,nourriture
foie gras,,,,,,nourriture
folie,,,,,,
fondue,,,,,,nourriture
football - foot,,,,,,sport
formation,,,,,,activité
fou - folle,,,,,,adjectif
four,,,,,,outil
fourchette,,,,,,outil
fourmi,,,,,,animal
fromagerie,,,magasin + fromage,,,lieu
frustrer,,[sound:frustrer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/frustrer/,,sentiment verbe
fumée,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/fumee/,,
fusée,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/fusee/,,transport
gare,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/gare/,,lieu
Glaris,,,,,,canton lieu
glisser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/glisser/,,verbe
gratuit,,,,,,adjectif
grave,"""(comme dans """"pas grave"""")""",,,,,
grenouille,,,,,,animal
Grisons,,,,,,canton lieu
groupe,,,,,,
Grèce,,,,,,
guirlande,,,,,,
génial-e,,,,,,
généralement,(en général),,,,,
H&M,,,,,,lieu
hamburger,,,,,,nourriture
handicap,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/handicape/,,médecine
hibou,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/hibou/,,animal
Hitler,,,,,,personnalité
Horloge Fleuri,,,montre + fleur,,,lieu
hot dog,,,,,,nourriture
huile,,,,,,nourriture
hypocrite,,,,,,adjectif
hélicoptère,,,,,,transport
IKEA,Magasin,[sound:IKEA.mp4],,,,lieu
il y'a,,,avoir (sans pronom),,,
imaginaire,,,,,,
imaginer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/imaginer/,,verbe
impoli-e,Pas poli.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/impoli-pas-poli/,,adjectif
inauguration,,,,,,
incapable,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/incapable/,,
inconvénient,Désavantage,,ne pas aimer (plusieurs fois en petit),,,
interpréter,,,,,,
intégration,,[sound:intégration.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/integration/,,
intéresser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/interesser/,,verbe
intérieur,,,,,,
inventer,,[sound:inventer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/inventer/,,verbe
Irlande,,,,,,lieu pays
islam,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/islam-1/,,religion
jambon,,,,,,nourriture
joie,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/joie/,,
Jumbo,,,,,,lieu
Jura,,,,,,canton lieu
jusqu'à,,,,,,
kangourou,,,,,,animal
ketchup,,,,,,nourriture
kilogramme,,,,,,
koala,,,,,,animal
lait,,,,,,nourriture
Lancy,,,L —> Y (du haut vers le bas),,,lieu ville
langue,Ensemble de signes oraux et écrits qui permettent à un groupe de communiquer.,[sound:langue.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/langue-1/,,communication
le reste,Ce qui reste d'un tout.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/le-reste/,,adverbe
Les Césars,Récompense cinématographique française.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cesar/,,activité événement
Les Oscars,Récompense cinématographique décernée tous les ans à Hollywood.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/oscar-2/,,activité événement
libre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/libre/,,adjectif
litre,,,,,,
lièvre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/lievre/,,animal
loin,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/loin-1/,,adverbe
Lucerne,,,,,,canton lieu
luge,,,,,,
lune,,,,,,nature
lunettes,,,,,,
lynx,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/lynx/,,animal
Lyon,,,,,,lieu ville
machine,,,,,,
magasin,,[sound:magasin.mp4],,,,lieu
magicien - magicienne,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/magicien/,,profession
manchot,,,,,,animal
Manor,,[sound:Manor.mp4],,,,
manquer,,[sound:manquer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/manquer/,,verbe
mariage,,,,,,
marron,,,,,,nature nourriture
messe,,,,,,
Mexique,,,,,,lieu pays
Migros,,[sound:Migros.mp4],,,,lieu
Milan,,[sound:Milan.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/milan/,,lieu ville
moutarde,,,,,,nourriture
muet,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/muet/,,adjectif
muscle,,,,,,
musée,,,,,,bâtiment lieu
myrtille,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/myrtille/,,fruit nourriture
mâle,,[sound:mâle.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/male-2/,,adjectif animal
Mère Royaume,,,(madame ou mère) + roi,,,
méduse,,,,,,animal
méthode,,[sound:méthode.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/methode/,,
métier,,,,,,
naturel,,,,,,adjectif
nazi,,,,,,
neige,,,,,,nature
neiger,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/neiger/,,verbe
nettoyer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/nettoyer/,,verbe
Neuchâtel,,,,,,canton lieu
nonne - sœur,,,messe,,,
normal,,,,,,adjectif
nouveau - nouvelle,,,,,,adjectif
observer,,[sound:observer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/observer/,,verbe verbe-dir
office,,,,,,
oignon,,,,,,
opération,,,(ciseau sur le dos de la main),,,
original-e,,,,,,adjectif
outil (instrument),,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/outil-2/,,
pain,,,,,,nourriture
panda,,,,,,animal
paon,,,,,,animal
par,"""Par exemple, """"écrit par toi"""".""",,,,,
paranoïa,,[sound:paranoïa.mp4],,,,médecine
parler,,[sound:parler.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/parler/,,verbe
pas cher,,,,,,
patate douce,,,,,,
patron,,,,,,
