40,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/quarante/,,chiffre mathématique
60,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/soixante/,,chiffre mathématique
70,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/septante/,,chiffre mathématique
80,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/huitante-quatre-vingts/,,chiffre mathématique
100,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cent/,,chiffre mathématique
6ème,,,,,,mathématique
abeille,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abeille/,,animal
abricot,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abricot/,,nature nourriture
accompagner,,,,,,verbe verbe-dir
acheter,,,,,,verbe
acouphène,,,,,,
acteur - actrice,,,,,,profession
admirer,,,,,,verbe
adorer,,,,,,verbe
agneau,,,,,,animal
aimer,,,,,,verbe verbe-aff-nég
Allemagne,,,,,,lieu pays
Allemand,,,,,,langue
aller,,,,,,verbe
aller chercher,,,,,,verbe
allumer,,,,,,verbe
allumette,,,,,,outil
alors,,,,,,
ami-e,,[sound:ami-e.mp4],,,,
amoureux - amoureuse,,[sound:amoureux - amoureuse.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amoureux-amoureuse/,,adjectif sentiment
ananas,,[sound:ananas.mp4],,,,nature nourriture
Android,,,,,,technologie
ange,,,,,,
Anglais,,,,,,langue
anniversaire,,,,,,
année,,,,,,
août,,,,,,
apercevoir,,,,,,verbe verbe-dir
appareil auditif,,,,,,outil
appartement,,,,,,
apporter,,,,,,verbe
apprendre,Lorsque nous ne savions pas quelque chose et que nous l'apprenons.,,,,,verbe
apprendre par cœur,,,,,,formule
après,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apres/,,préposition
après-midi,,,,,,
araignée,,,,,,animal
arbre,,,,,,nature
arc-en-ciel,,,,,,nature
arriver,,,,,,verbe
arrière grand-mère,,,,,,famille
arrière grand-père,,,,,,famille
arrêter (cesser),"Cesser d'agir, de faire quelque chose.",,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-1/,,verbe
artère,,,,,,pas-trouvé
Ascension,,,,,,activité événement
attendre,,,,,,verbe
au total,,,,,,formule
aujourd'hui,,,,,,
aussi,,,,,,
automne,,,,,,
autre,,,,,,pronom
Autriche,,,,,,lieu pays
autruche,,,,,,animal
avaler,,,,,,verbe
avant,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/avant-1/,,préposition
avec,,,,,,
Avent,,,calendrier + décembre,,,activité
aveugle,,,,,,adjectif
avoir,,,,,,verbe verbe-aff-nég
avoir besoin,,,,,,verbe verbe-aff-nég
avoir de la chance,,,,,,formule
avoir envie,,,,,,verbe verbe-aff-nég
avoir faim,,,,,,verbe
avoir mal,,,,,,médecine
avoir raison,,,,,,formule verbe
avril,,,,,,
aïe!,,,,,,interjection
baleine,,,,,,animal
banane,,,,,,nature nourriture
bar,,,,,,lieu
bataille,,,,,,
bateau,,,,,,outil transport
bateau à voile,,,,,,outil transport
battre,,,,,,verbe verbe-dir
beau - belle,,,,,,adjectif
beau-père,,,,,,famille
beaucoup,,,,,,adverbe
beaux-parents,,,,,,famille
beige,,,,,,couleur
Belgique,,,,,,lieu pays
belle-mère,,,,,,famille
beurre,,,,,,nourriture
bientôt,,,,,,adverbe
bijou,,,,,,
biscuit,,,,,,nourriture
bizarre,,,,,,adjectif
bière,,,,,,nourriture
blanc,,,,,,couleur
bleu,,,,,,couleur
boire (animaux),,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/boire-2/,,verbe
boire (humains),,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/boire-1/,,verbe
bois,,,,,,bâtiment
bon,,,,,,adjectif
bon appétit!,,,,,,formule
bonjour,,,,,,
bonsoir,,,,,,
bordeau,,,,,,couleur
bouchon (embouteillage),,,,,,
bougie,,,,,,
boule,,,,,,
bourré,,,,,,adjectif
branche,,,,,,nature
brique,,,,,,bâtiment
brouillard,,,,,,nature
bruit,,,,,,
brun,,,,,,couleur
bus,,,,,,outil transport
bébé,,,,,,
bénévole,,,,,,adjectif
bête,,,,,,adjectif
cadeau,,,,,,
café,,,,,,nourriture
calendrier,,,,,,
calme,,,,,,adjectif
campagne,,,,,,lieu
Canada,,,,,,lieu pays
canard,,,,,,animal
capable,,,,,,adjectif
Carnaval,,,,,,activité
carotte,,,,,,nature nourriture
casser,,,,,,verbe
cathédrale,,,,,,bâtiment
ce - cet - cette - ces,,,,,,pronom
ce soir,,,,,,
cercle,,,,,,mathématique
cerise,,,,,,nature nourriture
chacun son tour,,,,,,formule
chair de poule,,,(main active qui remonte le long du bras avec tous les doigts ouverts vers le haut),,,expression
chameau,,,,,,animal
changer,,,,,,verbe
chanter,,,,,,verbe
chasseur,,,,,,
chat,,[sound:chat.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chat/,,animal
chaud,,,,,,adjectif
chaussure,,,,,,habit
chenille,,,,,,animal
chercher,,,,,,verbe
cheval,,,,,,animal
cheveux,,,,,,
chez,,,,,,préposition
chien,,[sound:chien.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chien/,,animal
Chili,,,,,,lieu pays
Chine,,,,,,lieu pays
chocolat,,,,,,nourriture
choisir,,,,,,verbe
chose,,,,,,
chou,,,,,,nature nourriture
chèvre,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/chevre/,,animal
cinéma,,,,,,lieu
citrouille,,,,,,nourriture
clair,,,,,,adjectif
clin d'œil,,,,,,formule
clémentine,,,,,,nature nourriture
coccinelle,,,,,,animal
cochon,,,,,,animal
commander,,,,,,verbe
comme,,,,,,
commencer,,,,,,verbe
comment,,,,,,adverbe
compliqué,,,,,,adjectif
comprendre,,,,,,verbe verbe-aff-nég
comédien - comedienne,,,,,,profession
congé,,,,,,
conjugaison,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/conjugaison/,,langue
connaître,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/connaitre/,,verbe verbe-aff-nég
construire,,,,,,verbe
conte,,,,,,activité
contexte,,,,,,langue
continuer,,,,,,verbe
copain - copine,,,,,,
coq,,,,,,animal
couleur,,,,,,
coupable,,,,,,adjectif
courge,,,,,,nature nourriture
courir,,,,,,verbe
cours,,,,,,
course à pied,,,,,,activité
court,,,,,,adjectif
court-circuit,,,,,,
couscous,,,,,,nourriture
cousin,,,,,,famille
couteau,,,,,,outil
couvert,En parlant de la météo.,,,,,
crabe,,,,,,animal
crayon,,,,,,outil
crier,,,,,,verbe
critiquer,,,,,,verbe verbe-dir
Croatie,,,,,,lieu pays
crocodile,,,,,,animal
croire,,,,,,verbe
crèche,,,,,,lieu service
crème,,,,,,nourriture
culture,,,,,,
curieux - curieuse,,,,,,adjectif
cygne,,,,,,animal
cœur,,,,,,
dactylologie,,,,,,communication
danser,,,,,,verbe
de rien,,,,,,formule
degré,,,,,,
dehors,,,,,,adverbe
demain,,,,,,
demander,,,,,,verbe verbe-dir
demi-frère,,,,,,famille
demi-sœur,,,,,,famille
dent,,,,,,
depuis,,,,,,
dessiner,,,,,,verbe
devenir,,,,,,verbe
devoirs,,,,,,
difficile,,,,,,adjectif
dimanche,,,,,,
dinde,,,,,,animal
dinosaure,,,,,,animal
dire,,,,,,verbe verbe-dir
donner,,,,,,verbe verbe-dir
dos - verso,,,,,,
doucement - lentement,,,,,,adverbe
drôle,,,,,,adjectif
dur,,,,,,adjectif
début,Par exemple «le début de la course»,,,,,pas-trouvé
débutant-e,,,,,,adjectif
décembre,,,,,,
décor,,,,,,
déjà,,,,,,adverbe
déjà (fini),,,,,,
déjà (surprise),,,,,,
délicieux - délicieuse,,,,,,adjectif
déprimer,,,,,,verbe
déprimé-e,,,,,,adjectif sentiment
déçu-e,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/decu-decue/,,adjectif sentiment
Egypte,,,,,,lieu pays
en face,,,,,,
en forme,,,,,,adjectif
encore,,,,,,adverbe
enfant,,,,,,famille
enseigner,,,,,,verbe verbe-dir
ensemble,,,,,,adverbe
entendant,,,,,,adjectif
entendre,,,,,,verbe
entrailles,Lire la chance dans les entrailles des oiseaux,,,,,pas-trouvé
entrer,,,,,,verbe
envoyer (lettre),,,,,,verbe verbe-dir
"envoyer (SMS, email)",,,,,,verbe verbe-dir
escargot,,,,,,animal
espion,,,,,,profession
essence,,,,,,
et cetera,,,,,,adverbe
Europe,,,,,,
exagérer,,,,,,verbe
exemple,,,,,,
expliquer,,,,,,verbe verbe-dir
expression,,,Faire des guillemets dans l'air,,,
fabriquer,,,,,,verbe
facile,,,,,,adjectif
faim,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/faim/,,
faire,,,,,,verbe
faire attention,,,,,,verbe
famille,,,,,,
fatigué,,,,,,adjectif
